Time,AccelerationX,AccelerationY,AccelerationZ,RotationX,RotationY,RotationZ,TemperatureMPU,Pressure,Humidity,Gas,BME_Temperature,UV_Voltage,UV_Index,Longitude,Latitude,datatime,speed,AltitudeGPS,AltitudeBME,AccelerationAbsolute,GyroscopeAbsolute
128582,2.391807556,-0.653617084,8.216899872,-0.464177608,-0.014655436,0.194917306,22.08294106,991.2700195,38.17731094,156.1029968,19.09514618,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.58285513007816,0.5036550305032695
129051,2.245761156,0.033518825,8.159439087,-0.127502292,0.121373661,0.039303213,21.94176483,991.2700195,38.17731094,156.1029968,19.09514618,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.462919880034978,0.18036946138944793
130309,2.312798738,-0.653617084,8.293514252,0.29817152,0.004796324,-0.108583458,21.94176483,991.2800293,38.18053818,156.1029968,19.07057381,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.63473404009169,0.31736355716159526
130777,2.22900176,-0.277727395,8.43956089,-0.601139367,-0.086333841,0.278852999,21.89470673,991.2800293,38.18053818,156.1029968,19.07057381,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.73337101971708,0.6682672113086711
131244,2.346317768,-0.086191259,8.386888504,0.338274121,0.135096475,-0.249009192,21.89470673,991.2800293,38.18053818,156.1029968,19.07057381,0.038709678,0.387096763,0,0,0,0,0,25899.4043,8.709336069993387,0.441232383440111
132503,2.26730895,-0.462080926,8.152256966,-0.238084227,-0.015721286,0.075808577,21.89470673,991.3099976,38.20120621,158.3249969,19.05135727,0.038709678,0.387096763,0,0,0,0,0,25899.29883,8.474284766080181,0.25035614297725206
132973,2.133233786,-0.158017308,8.353369713,-0.281650841,-0.114445634,-0.013323124,21.84764671,991.3099976,38.20120621,158.3249969,19.05135727,0.038709678,0.387096763,0,0,0,0,0,25899.29883,8.622902145880188,0.30430659705433366
133445,2.260126352,-0.201112941,8.207323074,0.42540735,0.077007659,-0.24674426,21.75352859,991.3099976,38.20120621,158.3249969,19.05135727,0.038709678,0.387096763,0,0,0,0,0,25899.29883,8.515208135040229,0.4977793917204994
134702,2.331952572,-0.33279404,8.166622162,-0.397428781,-0.035572741,0.274722815,21.84764671,991.2800293,38.23015594,157.4290009,19.058918,0.041935485,0.419354856,0,0,0,0,0,25899.4043,8.49955717717026,0.48444574613771074
135169,2.11647439,-0.047884032,8.212111473,0.114045948,-0.009459418,-0.044232771,21.89470673,991.2800293,38.23015594,157.4290009,19.058918,0.041935485,0.419354856,0,0,0,0,0,25899.4043,8.480597359209119,0.12268861754236156
135636,2.279279947,-0.687135875,8.228871346,0.08313629,0.008793262,-0.066615619,21.89470673,991.2800293,38.23015594,157.4290009,19.058918,0.041935485,0.419354856,0,0,0,0,0,25899.4043,8.566305879229867,0.10689529861653367
136891,2.396595955,-0.328005642,8.24802494,-0.399160802,-0.074875958,0.105385914,21.80058861,991.2800293,38.22348785,159.8410034,18.93384552,0.041935485,0.419354856,0,0,0,0,0,25899.43945,8.595415945931192,0.41957352848972296
137361,2.422932148,-0.426167905,8.214506149,0.258068919,0.13762787,-0.178929552,21.80058861,991.2800293,38.22348785,159.8410034,18.93384552,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.574982830829622,0.3428655452702796
137830,2.343923569,-0.526724398,8.142680168,-0.235153139,-0.098990813,0.173999995,21.84764671,991.2800293,38.22348785,159.8410034,18.93384552,0.038709678,0.387096763,0,0,0,0,0,25899.43945,8.489679417216099,0.30882386258181915
139091,2.384624958,-0.112527482,8.140285492,-0.266462475,0.206108719,-0.026113322,21.80058861,991.25,38.25947952,159.9949951,18.89824677,0.038709678,0.387096763,0,0,0,0,0,25899.47656,8.483121272019366,0.33788305701355054
139557,2.580949545,-0.488417149,8.231265068,0.244212866,-0.096059717,-0.14282389,21.80058861,991.25,38.25947952,159.9949951,18.89824677,0.038709678,0.387096763,0,0,0,0,0,25899.47656,8.640230117592358,0.2987742570985428
140021,2.260126352,-0.550666392,8.224082947,-0.291643173,-0.146687597,0.132831544,21.84764671,991.25,38.25947952,159.9949951,18.89824677,0.038709678,0.387096763,0,0,0,0,0,25899.47656,8.546750547513325,0.3524446205470673
141277,2.418143749,-0.110133275,8.111555099,0.058488514,0.401558936,-0.234087273,21.75352859,991.2600098,38.2973938,160.302002,18.93951797,0.038709678,0.387096763,0,0,0,0,0,25899.47656,8.465038372813375,0.46847341091246236
141744,2.487575531,-0.478840351,8.264783859,0.006128637,-0.357059717,0.178529859,21.80058861,991.2600098,38.2973938,160.302002,18.93951797,0.038709678,0.387096763,0,0,0,0,0,25899.47656,8.644302883411864,0.39925194082203
142212,2.030282974,-0.277727395,8.310274124,-0.207307816,0.007860643,0.035839204,21.75352859,991.2600098,38.2973938,160.302002,18.93951797,0.038709678,0.387096763,0,0,0,0,0,25899.47656,8.559196076529135,0.2105297338297299
